,fpr,tpr,trial
22515,1.0,1.0,random-split
17349,0.096,0.524,random-split
17350,0.096,0.524,random-split
17351,0.096,0.524,random-split
17352,0.096,0.524,random-split
17353,0.096,0.524,random-split
17354,0.096,0.524,random-split
17355,0.096,0.524,random-split
17356,0.096,0.524,random-split
17357,0.097,0.524,random-split
17358,0.097,0.525,random-split
17359,0.097,0.525,random-split
17360,0.097,0.525,random-split
17348,0.096,0.524,random-split
17361,0.097,0.525,random-split
17363,0.097,0.525,random-split
17364,0.097,0.526,random-split
17365,0.098,0.526,random-split
17366,0.098,0.526,random-split
17367,0.098,0.526,random-split
17368,0.098,0.527,random-split
17369,0.098,0.527,random-split
17370,0.098,0.527,random-split
17371,0.098,0.527,random-split
17372,0.098,0.527,random-split
17373,0.098,0.527,random-split
17374,0.098,0.527,random-split
17362,0.097,0.525,random-split
17375,0.098,0.527,random-split
17347,0.096,0.523,random-split
17345,0.096,0.523,random-split
17319,0.095,0.52,random-split
17320,0.095,0.52,random-split
17321,0.095,0.52,random-split
17322,0.095,0.52,random-split
17323,0.095,0.52,random-split
17324,0.095,0.521,random-split
17325,0.095,0.521,random-split
17326,0.095,0.521,random-split
17327,0.095,0.521,random-split
17328,0.095,0.521,random-split
17329,0.095,0.521,random-split
17330,0.095,0.521,random-split
17346,0.096,0.523,random-split
17331,0.095,0.521,random-split
17333,0.095,0.522,random-split
17334,0.095,0.522,random-split
17335,0.095,0.522,random-split
17336,0.095,0.522,random-split
17337,0.095,0.522,random-split
17338,0.095,0.522,random-split
17339,0.095,0.522,random-split
17340,0.095,0.523,random-split
17341,0.096,0.523,random-split
17342,0.096,0.523,random-split
17343,0.096,0.523,random-split
17344,0.096,0.523,random-split
17332,0.095,0.522,random-split
17318,0.094,0.52,random-split
17376,0.098,0.528,random-split
17378,0.098,0.528,random-split
17409,0.1,0.531,random-split
17410,0.1,0.531,random-split
17411,0.1,0.531,random-split
17412,0.1,0.532,random-split
17413,0.101,0.532,random-split
17414,0.101,0.532,random-split
17415,0.101,0.532,random-split
17416,0.101,0.532,random-split
17417,0.101,0.532,random-split
17418,0.101,0.533,random-split
17419,0.101,0.533,random-split
17420,0.101,0.533,random-split
17408,0.1,0.531,random-split
17421,0.101,0.533,random-split
17423,0.101,0.533,random-split
17424,0.101,0.533,random-split
17425,0.101,0.533,random-split
17426,0.101,0.534,random-split
17427,0.101,0.534,random-split
17428,0.101,0.534,random-split
17429,0.101,0.534,random-split
17430,0.101,0.534,random-split
17431,0.101,0.534,random-split
17432,0.101,0.534,random-split
17433,0.101,0.534,random-split
17434,0.101,0.535,random-split
17422,0.101,0.533,random-split
17377,0.098,0.528,random-split
17407,0.1,0.531,random-split
17405,0.1,0.531,random-split
17379,0.098,0.528,random-split
17380,0.098,0.528,random-split
17381,0.099,0.528,random-split
17382,0.099,0.528,random-split
17383,0.099,0.528,random-split
17384,0.099,0.528,random-split
17385,0.099,0.528,random-split
17386,0.099,0.529,random-split
17387,0.099,0.529,random-split
17388,0.099,0.529,random-split
17389,0.099,0.529,random-split
17390,0.099,0.529,random-split
17406,0.1,0.531,random-split
17391,0.099,0.529,random-split
17393,0.099,0.529,random-split
17394,0.099,0.53,random-split
17395,0.1,0.53,random-split
17396,0.1,0.53,random-split
17397,0.1,0.53,random-split
17398,0.1,0.53,random-split
17399,0.1,0.53,random-split
17400,0.1,0.53,random-split
17401,0.1,0.53,random-split
17402,0.1,0.53,random-split
17403,0.1,0.53,random-split
17404,0.1,0.531,random-split
17392,0.099,0.529,random-split
17317,0.094,0.52,random-split
17316,0.094,0.52,random-split
17315,0.094,0.52,random-split
17228,0.09,0.508,random-split
17229,0.09,0.508,random-split
17230,0.09,0.508,random-split
17231,0.09,0.508,random-split
17232,0.09,0.509,random-split
17233,0.09,0.509,random-split
17234,0.09,0.509,random-split
17235,0.09,0.509,random-split
17236,0.09,0.509,random-split
17237,0.091,0.509,random-split
17238,0.091,0.51,random-split
17239,0.091,0.51,random-split
17227,0.09,0.508,random-split
17240,0.091,0.51,random-split
17242,0.091,0.51,random-split
17243,0.091,0.51,random-split
17244,0.091,0.511,random-split
17245,0.091,0.511,random-split
17246,0.091,0.511,random-split
17247,0.091,0.511,random-split
17248,0.091,0.512,random-split
17249,0.091,0.512,random-split
17250,0.091,0.512,random-split
17251,0.091,0.512,random-split
17252,0.091,0.512,random-split
17253,0.091,0.512,random-split
17241,0.091,0.51,random-split
17254,0.091,0.512,random-split
17226,0.09,0.508,random-split
17224,0.09,0.508,random-split
17198,0.089,0.505,random-split
17199,0.089,0.505,random-split
17200,0.089,0.505,random-split
17201,0.089,0.505,random-split
17202,0.089,0.505,random-split
17203,0.089,0.505,random-split
17204,0.089,0.505,random-split
17205,0.089,0.505,random-split
17206,0.089,0.506,random-split
17207,0.089,0.506,random-split
17208,0.089,0.506,random-split
17209,0.089,0.506,random-split
17225,0.09,0.508,random-split
17210,0.089,0.506,random-split
17212,0.089,0.506,random-split
17213,0.089,0.506,random-split
17214,0.089,0.507,random-split
17215,0.089,0.507,random-split
17216,0.089,0.507,random-split
17217,0.089,0.507,random-split
17218,0.089,0.507,random-split
17219,0.09,0.507,random-split
17220,0.09,0.507,random-split
17221,0.09,0.507,random-split
17222,0.09,0.507,random-split
17223,0.09,0.507,random-split
17211,0.089,0.506,random-split
17255,0.092,0.512,random-split
17256,0.092,0.512,random-split
17257,0.092,0.512,random-split
17289,0.093,0.516,random-split
17290,0.093,0.517,random-split
17291,0.093,0.517,random-split
17292,0.093,0.517,random-split
17293,0.093,0.517,random-split
17294,0.093,0.517,random-split
17295,0.094,0.517,random-split
17296,0.094,0.517,random-split
17297,0.094,0.517,random-split
17298,0.094,0.518,random-split
17299,0.094,0.518,random-split
17300,0.094,0.518,random-split
17288,0.093,0.516,random-split
17301,0.094,0.518,random-split
17303,0.094,0.518,random-split
17304,0.094,0.518,random-split
17305,0.094,0.518,random-split
17306,0.094,0.519,random-split
17307,0.094,0.519,random-split
17308,0.094,0.519,random-split
17309,0.094,0.519,random-split
17310,0.094,0.519,random-split
17311,0.094,0.519,random-split
17312,0.094,0.519,random-split
17313,0.094,0.519,random-split
17314,0.094,0.52,random-split
17302,0.094,0.518,random-split
17287,0.093,0.516,random-split
17286,0.093,0.516,random-split
17285,0.093,0.516,random-split
17258,0.092,0.513,random-split
17259,0.092,0.513,random-split
17260,0.092,0.513,random-split
17261,0.092,0.513,random-split
17262,0.092,0.513,random-split
17263,0.092,0.513,random-split
17264,0.092,0.514,random-split
17265,0.092,0.514,random-split
17266,0.092,0.514,random-split
17267,0.092,0.514,random-split
17268,0.092,0.514,random-split
17269,0.092,0.514,random-split
17270,0.092,0.514,random-split
17271,0.092,0.514,random-split
17272,0.092,0.514,random-split
17273,0.092,0.514,random-split
17274,0.092,0.515,random-split
17275,0.093,0.515,random-split
17276,0.093,0.515,random-split
17277,0.093,0.515,random-split
17278,0.093,0.515,random-split
17279,0.093,0.515,random-split
17280,0.093,0.516,random-split
17281,0.093,0.516,random-split
17282,0.093,0.516,random-split
17283,0.093,0.516,random-split
17284,0.093,0.516,random-split
17435,0.101,0.535,random-split
17436,0.101,0.535,random-split
17437,0.102,0.535,random-split
17438,0.102,0.535,random-split
17590,0.111,0.556,random-split
17591,0.111,0.556,random-split
17592,0.111,0.556,random-split
17593,0.112,0.556,random-split
17594,0.112,0.557,random-split
17595,0.112,0.557,random-split
17596,0.112,0.557,random-split
17597,0.112,0.557,random-split
17598,0.112,0.557,random-split
17599,0.112,0.557,random-split
17600,0.112,0.558,random-split
17601,0.112,0.558,random-split
17589,0.111,0.556,random-split
17602,0.112,0.558,random-split
17604,0.112,0.558,random-split
17605,0.112,0.558,random-split
17606,0.112,0.559,random-split
17607,0.112,0.559,random-split
17608,0.112,0.559,random-split
17609,0.113,0.559,random-split
17610,0.113,0.559,random-split
17611,0.113,0.559,random-split
17612,0.113,0.559,random-split
17613,0.113,0.559,random-split
17614,0.113,0.559,random-split
17615,0.113,0.559,random-split
17603,0.112,0.558,random-split
17616,0.113,0.56,random-split
17588,0.111,0.556,random-split
17586,0.111,0.556,random-split
17560,0.109,0.552,random-split
