,name,pid,date,seed,gamma,node_ip,hostname,trial_id,max_depth,n_samples,reg_alpha,reg_lambda,n_estimators,experiment_id,learning_rate,colsample_bytree,min_child_weight,scale_pos_weight,config/n_estimators,config/scale_pos_weight,_wandb,timestamp,_timestamp,train_set_auc,config/max_depth,config/reg_alpha,config/reg_lambda,training_iteration,config/colsample_bytree,timesteps_since_restore,_runtime,val_set_auc,config/gamma,warmup_time,time_total_s,same_time_test_auc,time_since_restore,iterations_since_restore,_step,time_this_iter_s,config/min_child_weight,temporal_test_auc,config/learning_rate,config/seed,config/n_samples
0,362259samples-36seed,120390,2022-10-02_00-51-54,36,8,192.168.0.19,cn-0013,e0bb618e,16,362259,0.7665186383428034,8,100,e04cfc32c88c4657b9b04d49e3dff4e5,0.019042842743962222,0.7937192992564601,8,10,100,10,{'runtime': 1487},1664686314,1664686314,0.7094005155567198,16,0.7665186383428034,8,1,0.7937192992564601,0,1487,0.6979965431923573,8,0.0046312808990478516,1486.6873512268066,0.6983095687186573,1486.6873512268066,1,0,1486.6873512268066,8,0.6917421119193623,0.019042842743962222,36,362259
1,362259samples-42seed,159892,2022-10-02_00-44-26,42,4,192.168.0.39,cn-0033,83d161b2,12,362259,0.4078411127624048,8,200,82ef462bea6c4c5e96706df2b35d6c46,0.016759956349559305,0.7321856744005383,4,40,200,40,{'runtime': 1722},1664685866,1664685866,0.684902908877312,12,0.4078411127624048,8,1,0.7321856744005383,0,1722,0.6801004240505413,4,0.00420689582824707,1722.7241921424866,0.679791725059065,1722.7241921424866,1,0,1722.7241921424866,4,0.6668456749151843,0.016759956349559305,42,362259
2,362259samples-0seed,14321,2022-10-02_00-48-23,0,12,192.168.0.51,cn-0045,4be3faf4,12,362259,0.29980524690614285,0,250,5c9bc36e3043437ab87a66d7e2609736,0.07274755922668763,0.8766892907570918,8,30,250,30,{'runtime': 2173},1664686103,1664686103,0.6771423823240629,12,0.29980524690614285,0,1,0.8766892907570918,0,2172,0.6716822676297045,12,0.003467321395874023,2172.810042142868,0.6782967406727558,2172.810042142868,1,0,2172.810042142868,8,0.6560879557791315,0.07274755922668763,0,362259
3,362259samples-13seed,54395,2022-10-02_00-42-21,13,0,192.168.0.28,cn-0022,f4d32540,12,362259,0.011780881771202956,8,200,e2808716d7014897983a886fcf1bf4c9,0.024580382033721523,0.8513301023672659,0,30,200,30,{'runtime': 1925},1664685741,1664685741,0.6955018000940838,12,0.011780881771202956,8,1,0.8513301023672659,0,1925,0.6878701804594707,0,0.003723621368408203,1925.3374075889587,0.6907973090777314,1925.3374075889587,1,0,1925.3374075889587,0,0.6773865743129781,0.024580382033721523,13,362259
4,362259samples-21seed,36354,2022-10-02_00-44-03,21,8,192.168.0.26,cn-0020,996f3fb2,8,362259,0.20724821439757457,6,300,36735dc4c1e34142b208ac53e0162159,0.018508016273464337,0.938714542275198,4,30,300,30,{'runtime': 2094},1664685843,1664685843,0.7085595245888252,8,0.20724821439757457,6,1,0.938714542275198,0,2094,0.7019391460960613,8,0.00360250473022461,2093.934554338455,0.7043657753653714,2093.934554338455,1,0,2093.934554338455,4,0.6789011015964489,0.018508016273464337,21,362259
5,362259samples-36seed,120469,2022-10-02_00-37-52,36,4,192.168.0.19,cn-0013,4f54ac82,12,362259,0.002126520355691275,6,200,974d6b9504534926a971075846085b33,0.04586257042166714,0.8984386976040576,4,20,200,20,{'runtime': 2190},1664685472,1664685472,0.6946862880935782,12,0.002126520355691275,6,1,0.8984386976040576,0,2190,0.6838231111696872,4,0.0037539005279541016,2189.5302147865295,0.6853152451760376,2189.5302147865295,1,0,2189.5302147865295,4,0.6714233598285558,0.04586257042166714,36,362259
6,362259samples-21seed,36229,2022-10-02_00-24-20,21,8,192.168.0.26,cn-0020,900e718c,8,362259,0.7119058736719027,10,200,9aafcb9cbd6c40f1ad08cb54836d7668,0.01579779156816185,0.733930426354462,8,10,200,10,{'runtime': 1498},1664684660,1664684660,0.7250674966589015,8,0.7119058736719027,10,1,0.733930426354462,0,1497,0.7207748200760683,8,0.003991842269897461,1497.530014514923,0.7233008876244843,1497.530014514923,1,0,1497.530014514923,8,0.7081372917772745,0.01579779156816185,21,362259
7,362259samples-42seed,159767,2022-10-02_00-16-44,42,8,192.168.0.39,cn-0033,7103e88e,4,362259,0.40880872710708904,8,150,83094c3ce22b4c91b6930a6f88c51b24,0.03275979880185189,0.9408912092210314,4,30,150,30,{'runtime': 1078},1664684204,1664684204,0.7236590185822379,4,0.40880872710708904,8,1,0.9408912092210314,0,1078,0.7246164480834674,8,0.003654241561889648,1078.1522448062897,0.7225113214401659,1078.1522448062897,1,0,1078.1522448062897,4,0.7068790520752956,0.03275979880185189,42,362259
8,362259samples-42seed,159892,2022-10-02_00-15-40,42,0,192.168.0.39,cn-0033,96b119b0,4,362259,0.06544042856213295,2,150,82ef462bea6c4c5e96706df2b35d6c46,0.014036978032737783,0.8215144918331118,0,50,150,50,{'runtime': 1045},1664684140,1664684140,0.7137838834313057,4,0.06544042856213295,2,1,0.8215144918331118,0,1045,0.713586386594335,0,0.00420689582824707,1045.054334640503,0.7113318085686533,1045.054334640503,1,0,1045.054334640503,0,0.7008704721341268,0.014036978032737783,42,362259
9,362259samples-36seed,120390,2022-10-02_00-27-03,36,8,192.168.0.19,cn-0013,b0309202,8,362259,0.8326640937012869,2,250,e04cfc32c88c4657b9b04d49e3dff4e5,0.018823812814382505,0.7227080201919532,0,40,250,40,{'runtime': 1785},1664684823,1664684823,0.6846747378972495,8,0.8326640937012869,2,1,0.7227080201919532,0,1785,0.6847109135271988,8,0.0046312808990478516,1785.1332981586456,0.681846514162094,1785.1332981586456,1,0,1785.1332981586456,0,0.6588375523289103,0.018823812814382505,36,362259
