,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,data/num_train_samples,test/roc_auc,test/temporal_roc_auc,pretrained,data_type
0,0,0,0,0,25,25,0,107,362259,0.8402262779790315,0.7986812155157096,"nyutron (ours, clinical)",unstructured
1,1,1,1,1,26,26,18,128,1000,0.7731401425950553,0.7445181769169364,"nyutron (ours, clinical)",unstructured
2,2,2,2,2,27,27,24,127,362259,0.8375963484804853,0.7981342838902455,"nyutron (ours, clinical)",unstructured
3,3,3,3,3,28,28,23,126,10000,0.8146351818265611,0.7800881054861801,"nyutron (ours, clinical)",unstructured
4,4,4,4,4,29,29,22,119,1000,0.7699943843020931,0.7341269064651826,"nyutron (ours, clinical)",unstructured
5,5,5,5,5,30,30,21,124,100,0.6948013537677258,0.6731416394188129,"nyutron (ours, clinical)",unstructured
6,6,6,6,6,31,31,20,123,100,0.7321084710902782,0.5253452960724866,"nyutron (ours, clinical)",unstructured
7,7,7,7,7,32,32,19,122,100,0.6850073830229723,0.5982122948420201,"nyutron (ours, clinical)",unstructured
8,8,8,8,8,33,33,17,121,100,0.6976256025604358,0.6637891525343902,"nyutron (ours, clinical)",unstructured
9,9,9,9,9,34,34,16,120,1000,0.7684354786577694,0.7346965624737358,"nyutron (ours, clinical)",unstructured
10,10,10,10,10,35,35,15,125,100000,0.8328960025791976,0.7967833398826119,"nyutron (ours, clinical)",unstructured
11,11,11,11,11,36,36,13,118,1000,0.7660009172654481,0.7350759171774842,"nyutron (ours, clinical)",unstructured
12,12,12,12,12,37,37,12,117,1000,0.7755468900031286,0.7346395649375984,"nyutron (ours, clinical)",unstructured
13,13,13,13,13,38,38,14,116,10000,0.810713803991617,0.7699754877270837,"nyutron (ours, clinical)",unstructured
14,14,14,14,14,39,39,10,114,10000,0.8137262736200662,0.7721870233702534,"nyutron (ours, clinical)",unstructured
15,15,15,15,15,40,40,9,113,10000,0.8157742096316023,0.7467798388037477,"nyutron (ours, clinical)",unstructured
16,16,16,16,16,41,41,8,112,100000,0.8333801291105043,0.7887122596646127,"nyutron (ours, clinical)",unstructured
17,17,17,17,17,42,42,7,111,100000,0.834361689295904,0.795119837979262,"nyutron (ours, clinical)",unstructured
18,18,18,18,18,43,43,6,110,100000,0.8319810138208257,0.7871618329585635,"nyutron (ours, clinical)",unstructured
19,19,19,19,19,44,44,5,109,100000,0.8358406422061455,0.794904090849935,"nyutron (ours, clinical)",unstructured
