,pretrained,finetuned,test/brooklyn/temporal_roc_auc,test/brooklyn/roc_auc,test/manhattan/temporal_roc_auc,test/manhattan/roc_auc,data/num_train_samples
0,all_sites,manhattan,0.7796988941161641,0.8277472695693469,0.8140146358998769,0.8476840393663639,80661
1,all_sites,brooklyn,0.8048916421676756,0.8457315127724699,0.8080160669944092,0.8336687335151837,80661
2,all_sites,manhattan,0.7946262251040204,0.821460758177985,0.8152044728384134,0.8491141289387732,80661
3,all_sites,brooklyn,0.8173778170750243,0.8437311150216233,0.8092341071832216,0.8336780010189544,80661
4,all_sites,manhattan,0.800224538041094,0.8314326505207822,0.8202151604077235,0.845697872646865,80661
5,all_sites,manhattan,0.79877310412411,0.8270319210128778,0.8184804375036718,0.8482496734163976,80661
6,all_sites,brooklyn,0.8120113949657508,0.840593603114308,0.8105355331495133,0.8348683536619428,80661
7,brooklyn,brooklyn,0.7988530270619623,0.8444751565299286,0.7882789573838204,0.8201123339908752,80661
8,brooklyn,manhattan,0.7840486235459709,0.8243634764921037,0.8122268049997194,0.8421011524144305,80661
9,manhattan,brooklyn,0.8075307673961373,0.8400070609611909,0.8067263932467872,0.8322466528966502,80661
10,manhattan,manhattan,0.7822168219402212,0.825809559680664,0.8178184857483033,0.848926443479332,80661
11,brooklyn,brooklyn,0.7857695463639545,0.8453726429545755,0.7741570744497763,0.8130708348223931,80661
12,brooklyn,manhattan,0.7835660891948635,0.8150682076167935,0.8043589902211582,0.8402315395295715,80661
13,manhattan,brooklyn,0.8019430511222577,0.8401651840762018,0.8033903190429672,0.8303720058122123,80661
14,manhattan,manhattan,0.7850094597617202,0.8271629625555939,0.8130506635346226,0.847013750498877,80661
15,brooklyn,brooklyn,0.8044395384674322,0.8466026973246006,0.7880443279166498,0.81668709959437,80661
16,brooklyn,manhattan,0.7904354765161878,0.8142603346866495,0.8068710710455537,0.8415596327187976,80661
17,manhattan,brooklyn,0.8086167554562003,0.8407959092167478,0.8083494648871505,0.8296384933205997,80661
18,manhattan,manhattan,0.7874324810279566,0.8228538217816306,0.8194836081340207,0.8475560307086174,80661
19,brooklyn,brooklyn,0.7947109675155118,0.8419497089484688,0.7849479554085348,0.8127205541388458,80661
20,brooklyn,manhattan,0.7832037636381836,0.814233564994266,0.8103874946103682,0.8400924260198125,80661
21,manhattan,brooklyn,0.803101732909714,0.8381718556033437,0.8068780933333201,0.8327928231697017,80661
22,manhattan,manhattan,0.7889989026429253,0.8236003063492408,0.8191439762753304,0.8488849382536577,80661
23,brooklyn,brooklyn,0.7985959884678646,0.8442232095416126,0.7874622870991715,0.8114846110306851,80661
24,brooklyn,manhattan,0.7959842353781493,0.8221598369990832,0.8116160008085691,0.8414656116384233,80661
25,manhattan,brooklyn,0.8062520312845628,0.8374925811566108,0.8096319815024849,0.8319473131978812,80661
26,manhattan,manhattan,0.7881090300871089,0.8271992965652563,0.8168937842567321,0.8472459024778627,80661
27,all_sites,brooklyn,0.8152873085958401,0.8453470688018518,0.8120012827240684,0.8364912638465727,80661
28,all_sites,manhattan,0.7837043401213766,0.8246216090986598,0.8125578482996646,0.8465004573179965,80661
